Município,Ano,Produto Interno Bruto a preços correntes (Mil Reais),"Impostos, líquidos de subsídios, sobre produtos a preços correntes (Mil Reais)",Valor adicionado bruto a preços correntes total (Mil Reais),Valor adicionado bruto a preços correntes da agropecuária (Mil Reais),Valor adicionado bruto a preços correntes da indústria (Mil Reais),"Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)","Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)"
Alta Floresta D'Oeste (RO),2021,734469,49596,684873,311469,27847,172435,173122
Ariquemes (RO),2021,3209761,420195,2789566,293001,406329,1307930,782306
Cabixi (RO),2021,238412,11193,227219,136659,8115,35865,46579
Cacoal (RO),2021,2792383,384607,2407776,341315,236722,1200630,629109
Cerejeiras (RO),2021,743037,131904,611133,151690,27412,308666,123365
Colorado do Oeste (RO),2021,424807,33011,391796,123524,28794,124598,114881
Corumbiara (RO),2021,396728,16070,380657,260728,14003,45391,60535
Costa Marques (RO),2021,316671,11756,304914,116783,6682,53392,128057
Espigão D'Oeste (RO),2021,773381,77583,695798,202434,54689,221164,217511
Guajará-Mirim (RO),2021,1054179,180691,873488,77442,40473,436338,319235
Jaru (RO),2021,1765089,238102,1526987,280711,177922,688494,379860
Ji-Paraná (RO),2021,4231113,719632,3511482,206345,502877,1926121,876139
Machadinho D'Oeste (RO),2021,890320,52916,837405,352193,34664,174795,275753
Nova Brasilândia D'Oeste (RO),2021,548734,38742,509993,228451,24608,114351,142582
Ouro Preto do Oeste (RO),2021,985868,96926,888942,216209,71160,352557,249016
Pimenta Bueno (RO),2021,1642516,305833,1336683,297492,207603,550809,280779
Porto Velho (RO),2021,20059522,2851398,17208124,1041285,4627968,7555512,3983359
Presidente Médici (RO),2021,559990,51482,508508,183438,50521,140111,134437
Rio Crespo (RO),2021,184430,6198,178233,115354,7565,18756,36557
Rolim de Moura (RO),2021,1565194,181000,1384194,194673,171634,606264,411623
Santa Luzia D'Oeste (RO),2021,213556,8703,204853,106980,13056,33184,51633
Vilhena (RO),2021,4215046,681826,3533220,674880,368863,1712225,777252
São Miguel do Guaporé (RO),2021,905335,65762,839574,381639,82314,199587,176034
Nova Mamoré (RO),2021,742687,32971,709716,344263,21482,129299,214672
Alvorada D'Oeste (RO),2021,352628,15991,336637,147689,11552,72543,104853
Alto Alegre dos Parecis (RO),2021,483672,20513,463159,277664,18507,63694,103294
Alto Paraíso (RO),2021,510361,32335,478027,185477,24048,119552,148951
Buritis (RO),2021,966552,73301,893251,336953,35153,248229,272916
Novo Horizonte do Oeste (RO),2021,231502,11121,220381,106736,12107,40100,61438
Cacaulândia (RO),2021,275338,7656,267682,194610,3288,22240,47544
Campo Novo de Rondônia (RO),2021,369377,10992,358384,204767,16149,32202,105266
Candeias do Jamari (RO),2021,655606,37086,618520,141452,133672,138514,204882
Castanheiras (RO),2021,99627,3220,96407,56909,2351,8867,28281
Chupinguaia (RO),2021,468793,26740,442053,224569,44525,70952,102007
Cujubim (RO),2021,487480,26537,460943,153670,43842,84313,179118
Governador Jorge Teixeira (RO),2021,239330,7567,231763,146346,5056,22483,57878
Itapuã do Oeste (RO),2021,210031,10894,199137,65085,14646,39846,79560
Ministro Andreazza (RO),2021,297878,21615,276263,132934,14078,59932,69320
Mirante da Serra (RO),2021,262640,16870,245771,85084,14260,71352,75075
Monte Negro (RO),2021,389891,20921,368969,153360,23249,76057,116303
Nova União (RO),2021,157321,5823,151498,82596,3240,16675,48987
Parecis (RO),2021,155434,5088,150346,85286,3445,13908,47707
Pimenteiras do Oeste (RO),2021,246209,8203,238005,178073,8909,24664,26359
Primavera de Rondônia (RO),2021,107030,3634,103396,62242,2158,10663,28333
São Felipe D'Oeste (RO),2021,130676,5630,125046,62311,3164,18618,40952
São Francisco do Guaporé (RO),2021,488043,29161,458882,203490,17248,95713,142430
Seringueiras (RO),2021,332987,23425,309562,147309,11109,61163,89980
Teixeirópolis (RO),2021,121301,5024,116277,62959,3836,15259,34222
Theobroma (RO),2021,257426,8535,248891,140069,5751,23488,79582
Urupá (RO),2021,273501,13577,259925,110938,9241,54174,85571
Vale do Anari (RO),2021,220588,8710,211878,93455,6375,27947,84100
Vale do Paraíso (RO),2021,185648,6737,178912,100039,4130,20871,53871
Acrelândia (AC),2021,398725,21128,377597,157858,13439,91389,114911
Assis Brasil (AC),2021,133916,2575,131342,44810,3944,20601,61986
Brasiléia (AC),2021,685636,80025,605611,185724,45440,171335,203112
Bujari (AC),2021,300830,4780,296050,168856,8391,36998,81806
Capixaba (AC),2021,512353,9387,502966,342298,13142,52997,94528
Cruzeiro do Sul (AC),2021,2058630,194006,1864624,100357,167725,900140,696402
Epitaciolândia (AC),2021,644542,70966,573576,160895,22540,246925,143215
Feijó (AC),2021,567040,17689,549351,172858,24431,103190,248872
Jordão (AC),2021,113975,1824,112151,21977,2460,14031,73684
Mâncio Lima (AC),2021,269205,5857,263348,53381,13659,48626,147682
Manoel Urbano (AC),2021,184904,9125,175779,55704,11432,33663,74979
Marechal Thaumaturgo (AC),2021,256865,3441,253424,56419,5964,29458,161583
Plácido de Castro (AC),2021,601471,26769,574701,309366,17444,98405,149486
Porto Walter (AC),2021,160535,2823,157712,25573,4314,22836,104988
Rio Branco (AC),2021,10955675,1507114,9448561,464933,880534,5153657,2949436
Rodrigues Alves (AC),2021,255649,3070,252579,55116,7342,31896,158224
Santa Rosa do Purus (AC),2021,108545,1532,107013,25745,2260,14094,64913
Senador Guiomard (AC),2021,779672,31621,748050,391220,30582,150418,175830
Sena Madureira (AC),2021,748094,25950,722144,209649,36344,153428,322724
Tarauacá (AC),2021,711884,30960,680924,176339,23416,158432,322737
Xapuri (AC),2021,454981,20773,434208,199221,23433,69331,142223
Porto Acre (AC),2021,471315,7299,464016,259571,13578,50907,139960
Alvarães (AM),2021,217333,4045,213287,66407,10232,32276,104372
Amaturá (AM),2021,118872,2837,116035,13548,5177,19564,77746
Anamã (AM),2021,138599,2911,135689,36624,6641,20014,72410
Anori (AM),2021,248435,6134,242301,83155,10307,33233,115607
Apuí (AM),2021,297810,15045,282765,84456,24728,59992,113589
Atalaia do Norte (AM),2021,184947,4354,180594,26576,5316,25013,123689
Autazes (AM),2021,506341,21871,484469,118724,31985,95443,238317
Barcelos (AM),2021,245622,6482,239140,31862,19069,41809,146400
Barreirinha (AM),2021,344890,10505,334384,52171,16600,57523,208090
Benjamin Constant (AM),2021,388781,12082,376698,36799,24291,64580,251028
Beruri (AM),2021,211871,7212,204659,26467,10112,38303,129777
Boa Vista do Ramos (AM),2021,182412,4124,178288,25810,9165,30379,112933
Boca do Acre (AM),2021,512796,32976,479820,121255,53417,115369,189778
Borba (AM),2021,402131,14952,387178,52628,19865,74601,240084
Caapiranga (AM),2021,177894,3788,174106,52504,8137,26900,86565
Canutama (AM),2021,154316,4333,149983,23312,6976,26297,93398
Carauari (AM),2021,370657,16828,353829,98427,23989,80007,151406
Careiro (AM),2021,395194,15652,379542,60821,35814,70459,212448
Careiro da Várzea (AM),2021,413374,5538,407836,193978,15110,35050,163698
Coari (AM),2021,3380278,113867,3266411,113910,2000960,615214,536328
Codajás (AM),2021,531995,9056,522939,299133,18840,49138,155828
Eirunepé (AM),2021,568039,15566,552473,248976,20731,77827,204939
Envira (AM),2021,215527,7013,208513,45372,9556,38934,114651
Fonte Boa (AM),2021,222773,8401,214373,28885,14195,44172,127121
Guajará (AM),2021,177320,4168,173153,31779,7128,29220,105025
Humaitá (AM),2021,860168,60860,799307,183793,77643,254811,283061
Ipixuna (AM),2021,216519,6084,210435,16713,7758,32395,153569
Iranduba (AM),2021,1001862,58303,943559,303362,123196,211279,305723
Itacoatiara (AM),2021,2350463,199990,2150473,465661,182494,926007,576311
Itamarati (AM),2021,135620,3862,131757,42944,6481,23317,59016
Itapiranga (AM),2021,152509,7192,145317,40382,9291,31591,64054
Japurá (AM),2021,85809,3937,81871,16663,6036,21850,37323
Juruá (AM),2021,138074,4096,133978,21456,6747,20685,85089
Jutaí (AM),2021,266377,7910,258467,77531,14842,52066,114027
Lábrea (AM),2021,625199,24174,601025,234934,25787,106797,233508
Manacapuru (AM),2021,1544675,71649,1473026,409121,142289,368854,552761
Manaquiri (AM),2021,311335,6974,304361,93213,14926,33242,162980
Manaus (AM),2021,103281436,21017364,82264072,201067,37697009,33086599,11279398
Manicoré (AM),2021,686279,29089,657190,184244,41056,128373,303518
Maraã (AM),2021,176217,4529,171688,18701,7817,25730,119439
Maués (AM),2021,595827,27743,568084,67607,36746,119688,344043
Nhamundá (AM),2021,207005,8477,198529,27468,9860,41754,119447
Nova Olinda do Norte (AM),2021,341652,15792,325861,39757,20971,57933,207200
Novo Airão (AM),2021,186533,7029,179505,8945,12583,40621,117357
Novo Aripuanã (AM),2021,252422,7870,244551,56186,15549,39474,133342
Parintins (AM),2021,1426984,91015,1335969,290479,92451,358507,594533
Pauini (AM),2021,199541,5505,194036,37032,7531,32920,116553
Presidente Figueiredo (AM),2021,1031905,43096,988809,95259,433687,193115,266748
Rio Preto da Eva (AM),2021,407146,26303,380842,87222,40821,77029,175770
